Compound.Name,Kovats (d-alkane),Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain
20200803_1535_blob_619_oil,2320,"Ethanol, 2-(octadecyloxy)-",786,810,,C20H42O2,314
20200803_0949_blob_893_,1667.088608,"4-tert-Octylphenol, TMS derivative",784,905,1631,C17H30OSi,278
20200803_0949_blob_1138_,1653.164557,Diphenylamine,784,878,1621,C12H11N,169
20200803_1535_blob_699_oil,2350,17-Pentatriacontene,782,783,,C35H70,490
20200803_1535_blob_913_oil,2702.912621,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",782,821,,C30H52O2,444
20200803_1535_blob_3_fb,1492.655367,"Cycloheptasiloxane, tetradecamethyl-",781,782,1502,C14H42O7Si7,518
20200803_1535_blob_658_oil,2508.108108,17-Pentatriacontene,781,782,,C35H70,490
20200803_0949_blob_1210_,1777.21519,"Ethanone, 1-(2,3-dihydro-1,1-dimethyl-1H-inden-4-yl)-",781,816,,C13H16O,188
20200803_1535_blob_655_oil,2500.900901,17-Pentatriacontene,780,781,,C35H70,490
20200803_1535_blob_701_oil,2569.369369,"E,E,Z-1,3,12-Nonadecatriene-5,14-diol",780,813,,C19H34O2,294
20200803_1535_blob_819_oil,2180.152672,"Ethanol, 2-(octadecyloxy)-",780,793,,C20H42O2,314
20200803_1535_blob_898_oil,2157.251908,17-Pentatriacontene,780,780,,C35H70,490
20200803_1535_blob_1107_,2099.236641,"Heptadecane, 2,3-dimethyl-",780,871,,C19H40,268
20200803_1535_blob_1203_,1692.405063,1-Ethyl(dimethyl)silyloxytridecane,779,803,,C17H38OSi,286
20200803_1535_blob_943_oil,2145.038168,"Ethanol, 2-(octadecyloxy)-",778,787,,C20H42O2,314
20200803_1535_blob_750_,2024.427481,"Hexadecanoic acid, ethyl ester",777,844,1993,C18H36O2,284
20200803_1535_blob_780_,1739.240506,"Phthalic acid, methyl 2-pentyl ester",777,864,,C14H18O4,250
20200803_1535_blob_938_oil,2149.618321,"Ethanol, 2-(octadecyloxy)-",777,790,,C20H42O2,314
20200803_0949_blob_800_,2349.579832,"Benzoic acid, tridecyl ester",777,844,2340,C20H32O2,304
20200803_1535_blob_779_,2172.519084,9-Ethyl-10-methylanthracene,776,817,,C17H16,220
20200803_1535_blob_789_oil,2164.885496,"Ethanol, 2-(octadecyloxy)-",776,785,,C20H42O2,314
20200803_1535_blob_1540_,1677.21519,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester",776,857,1649,C13H22O3,226
20200803_1535_blob_1054_,2958.762887,"17.alfa.,21??-28,30-Bisnorhopane",775,786,,C28H48,384
20200803_1535_blob_776_,1929.166667,"Bayer 28,589",772,832,,C14H21NO3,251
20200803_1535_blob_707_oil,2578.378378,"E,E,Z-1,3,12-Nonadecatriene-5,14-diol",771,807,,C19H34O2,294
20200803_1535_blob_1055_oil,2757.281553,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",771,816,,C30H52O2,444
20200803_1535_blob_786_,1791.139241,"1-Tetradecanol, TMS derivative",770,829,1756,C17H38OSi,286
20200803_1535_blob_949_oil,2724.271845,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",770,818,,C30H52O2,444
20200803_1535_blob_669_oil,2529.72973,"Tetrapentacontane, 1,54-dibromo-",769,777,,C54H108Br2,914
20200803_1535_blob_672_oil,2538.738739,17-Pentatriacontene,769,771,,C35H70,490
20200803_1535_blob_683_,2039.694656,2-(?§-Chlorophenylmethyl)pyridine,769,829,,C12H10ClN,203
20200803_1535_blob_712_,1499.435028,"5(1H)-Azulenone, 2,4,6,7,8,8a-hexahydro-3,8-dimethyl-4-(1-methylethylidene)-, (8S-cis)-",769,790,,C15H22O,218
20200803_1535_blob_709_,2355,"Phenanthrene, 3,4,5,6-tetramethyl-",768,894,,C18H18,234
20200803_1535_blob_775_oil,2634.951456,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",768,800,,C30H52O2,444
20200803_1535_blob_726_oil,2592.792793,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",767,794,,C30H52O2,444
20200803_1535_blob_734_,1755.696203,"Acetophenone oxime, 3,5-di(tert-butyl)-4-hydroxy-",767,813,,C16H25NO2,263
20200803_1535_blob_924_oil,2710.679612,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",767,818,,C30H52O2,444
20200803_1535_blob_1019_oil,2743.68932,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",767,810,,C30H52O2,444
20200803_0949_blob_734_oil,2514.545455,"Tetrapentacontane, 1,54-dibromo-",767,787,,C54H108Br2,914
20200803_1535_blob_743_oil,2208.333333,"1-Methyl-10,18-bisnorabieta-8,11,13-triene",766,863,,C19H28,256
20200803_1535_blob_772_,2524.324324,"naphthalene, 1-(2-phenylethynyl)-",766,908,,C18H12,228
20200803_1535_blob_1282_,2958.762887,"Cholest-5-en-3-ol (3??)-, tetradecanoate",765,793,,C41H72O2,596
20200803_1535_blob_492_,2105.343511,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",764,781,,C16H50O7Si8,578
20200803_1535_blob_1453_,2952.57732,"Eicosane, 7-hexyl-",764,789,,C26H54,366
20200803_1535_blob_919_,2091.603053,"1-Heptadecanol, TMS derivative",763,811,2054,C20H44OSi,328
20200803_1535_blob_797_,1829.166667,2-Hexadecanone,762,839,1805,C16H32O,240
20200803_1535_blob_1469_,1580.79096,"Succinic acid, butyl isobutyl ester",762,843,,C12H22O4,230
20200803_1535_blob_662_oil,2544.144144,"Octadecanal, 2-bromo-",761,772,,C18H35BrO,346
20200803_1535_blob_902_,1768.35443,2-(1-Butyl-2-nitroallyl)cyclohexanone,760,762,,C13H21NO3,239
20200803_0949_blob_741_oil,2521.818182,17-Pentatriacontene,760,761,,C35H70,490
20200803_1535_blob_703_,1500.564972,"Ethanone, 1-[4-(1-hydroxy-1-methylethyl)phenyl]-",759,847,1432,C11H14O2,178
20200803_0949_blob_715_oil,2501.818182,"Ethanol, 2-(octadecyloxy)-",759,772,,C20H42O2,314
20200803_1535_blob_905_,2619.417476,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",758,813,,C30H52O2,444
20200803_0949_blob_735_oil,2518.181818,"Carbonic acid, eicosyl vinyl ester",758,814,2497,C23H44O3,368
20200803_0949_blob_766_,2044.615385,2-o-Tolylbenzothiazole,758,804,,C14H11NS,225
20200803_1535_blob_784_,1816.666667,"1H-Indene-1-carboxylic acid, 1-ethyl-2,3-dihydro-3,3-dimethyl-, methyl ester",757,806,,C15H20O2,232
20200803_1535_blob_889_,1782.278481,"Benzenamine, 2,4,6-tris(1,1-dimethylethyl)-",756,781,,C18H31N,261
20200803_1535_blob_806_oil,2716.504854,"1,1,6-trimethyl-3-methylene-2-(3,6,9,13-tetramethyl-6-ethenye-10,14-dimethylene-pentadec-4-enyl)cyclohexane",755,846,,C33H56,452
20200803_1535_blob_832_oil,2749.514563,"1,1,6-trimethyl-3-methylene-2-(3,6,9,13-tetramethyl-6-ethenye-10,14-dimethylene-pentadec-4-enyl)cyclohexane",755,846,,C33H56,452
20200803_1535_blob_143_,1760.759494,"2H-isoindole-2-acetaldehyde, 1,3-dihydro-1,3-dioxo-",754,880,,C10H7NO3,189
20200803_1535_blob_735_,2265,"Phenanthrene, 2,4,5,7-tetramethyl-",754,892,,C18H18,234
