BlobID,Description,Compound Name,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Library RI,Characteristic Ions,Characteristic Ions Response
212,,blob318_g48_1-Hexadecanol,,FALSE,0,40.66674153,1.09999978,123832,1388041,caice_voc_g48,739,C16H34O,172,242,,,
214,,blob229_g48_1-Iodo-2-methylundecane,,FALSE,0,31.25007675,0.69999986,138122,726642,caice_voc_g48,774,C12H25I,138,296,,,
215,,"blob210_g48_Oxalic acid, 6-ethyloct-3-yl isohexyl ester",,FALSE,0,29.08341052,0.839999832,113797,1694961,caice_voc_g48,856,C18H34O4,88,314,1151,,
216,,blob88_g48_2-Ethyl-1-hexanol,,FALSE,0,26.58341102,4.319999136,109403,1759038,caice_voc_g48,936,C8H18O,39,130,1088,,
217,,"blob259_g48_9-Octadecene, (E)-",,FALSE,0,49.83340637,1.219999756,115542,2446944,caice_voc_g48,760,C18H36,247,252,,,
218,,"blob124_g48_2-Dodecene, (Z)-",,FALSE,0,31.33341007,0.979999804,124685,590484,caice_voc_g48,926,C12H24,90,168,1209,,
219,,"blob259_g48_9-Octadecene, (E)-",,FALSE,0,47.66674013,1.259999748,112448,2201166,caice_voc_g48,673,C18H36,247,252,,,
220,,"blob701_g48_Butylphosphonic acid, butyl 2-phenylethyl ester",,FALSE,0,29.5000771,4.479999104,107745,1267684,caice_voc_g48,306,C16H27O3P,351,298,,,
221,,"blob508_g48_Dodecane, 2,7,10-trimethyl-",,FALSE,0,36.25007575,0.79999984,124725,928297,caice_voc_g48,776,C15H32,249,212,1592,,
222,,C18,,TRUE,0,50.08340632,1.079999784,112679,2615462,-,-1,-,-1,-1,,,
223,MT,blob168_g48_Limonene_CAICE_vocstand_incomplete,,TRUE,0,24.75007805,1.559999688,112008,752012,caice_voc_g48,879,-,6,0,1044,,
224,,"blob452_g48_Heptadecane, 4-propyl-",,FALSE,0,52.0000726,1.239999752,113239,2382038,caice_voc_g48,782,C20H42,180,282,,,
225,,"blob205_g48_Octane, 5-ethyl-2-methyl-",,FALSE,0,28.58341062,0.779999844,116145,1463041,caice_voc_g48,823,C11H24,107,156,1132,,
226,,"blob402_g48_1,2,5-Oxadiazol-3-amine, 4-(phenylmethoxy)-",,FALSE,0,46.5000737,1.779999644,107277,898022,caice_voc_g48,749,C9H9N3O2,251,191,1671,,
227,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,FALSE,0,49.08340652,0.979999804,106418,834913,caice_voc_g48,747,C21H44,208,296,,,
